code,label,level,type,severity,message
01,Economia e Finanças,L1,too_short,ALTO,Descrição muito curta: 25 palavras (mínimo: 30)
01,Economia e Finanças,L1,below_recommended,BAIXO,Abaixo do recomendado para L1: 25 palavras (recomendado: 80-200)
01.01,Política Econômica,L2,below_recommended,BAIXO,Abaixo do recomendado para L2: 40 palavras (recomendado: 50-150)
01.01.01,Política Fiscal,L3,too_short,ALTO,Descrição muito curta: 22 palavras (mínimo: 30)
01.01.01,Política Fiscal,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 22 palavras (recomendado: 30-100)
01.01.02,Autonomia Econômica,L3,too_short,ALTO,Descrição muito curta: 22 palavras (mínimo: 30)
01.01.02,Autonomia Econômica,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 22 palavras (recomendado: 30-100)
01.01.03,Análise Econômica,L3,too_short,ALTO,Descrição muito curta: 18 palavras (mínimo: 30)
01.01.03,Análise Econômica,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 18 palavras (recomendado: 30-100)
01.01.04,Boletim Econômico,L3,too_short,ALTO,Descrição muito curta: 19 palavras (mínimo: 30)
01.01.04,Boletim Econômico,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 19 palavras (recomendado: 30-100)
01.02,Fiscalização e Tributação,L2,below_recommended,BAIXO,Abaixo do recomendado para L2: 44 palavras (recomendado: 50-150)
01.02.01,Fiscalização Econômica,L3,too_short,ALTO,Descrição muito curta: 22 palavras (mínimo: 30)
01.02.01,Fiscalização Econômica,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 22 palavras (recomendado: 30-100)
01.02.02,Tributação e Impostos,L3,too_short,ALTO,Descrição muito curta: 21 palavras (mínimo: 30)
01.02.02,Tributação e Impostos,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 21 palavras (recomendado: 30-100)
01.02.03,Combate à Evasão Fiscal,L3,too_short,ALTO,Descrição muito curta: 24 palavras (mínimo: 30)
01.02.03,Combate à Evasão Fiscal,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 24 palavras (recomendado: 30-100)
01.02.04,Regulamentação Financeira,L3,too_short,ALTO,Descrição muito curta: 23 palavras (mínimo: 30)
01.02.04,Regulamentação Financeira,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 23 palavras (recomendado: 30-100)
01.03,Investimentos e Comércio Exterior,L2,below_recommended,BAIXO,Abaixo do recomendado para L2: 36 palavras (recomendado: 50-150)
01.03.01,Atração de Investimentos,L3,too_short,ALTO,Descrição muito curta: 24 palavras (mínimo: 30)
01.03.01,Atração de Investimentos,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 24 palavras (recomendado: 30-100)
01.03.02,Investimentos no Exterior,L3,too_short,ALTO,Descrição muito curta: 22 palavras (mínimo: 30)
01.03.02,Investimentos no Exterior,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 22 palavras (recomendado: 30-100)
01.03.03,Investimentos Verdes,L3,too_short,ALTO,Descrição muito curta: 19 palavras (mínimo: 30)
01.03.03,Investimentos Verdes,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 19 palavras (recomendado: 30-100)
01.03.04,Balança Comercial,L3,too_short,ALTO,Descrição muito curta: 24 palavras (mínimo: 30)
01.03.04,Balança Comercial,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 24 palavras (recomendado: 30-100)
01.03.05,Política de Comércio Internacional,L3,too_short,ALTO,Descrição muito curta: 18 palavras (mínimo: 30)
01.03.05,Política de Comércio Internacional,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 18 palavras (recomendado: 30-100)
01.04,Financiamento e Apoio Financeiro,L2,below_recommended,BAIXO,Abaixo do recomendado para L2: 46 palavras (recomendado: 50-150)
01.04.01,Apoio Financeiro a Pequenas Empresas,L3,too_short,ALTO,Descrição muito curta: 24 palavras (mínimo: 30)
01.04.01,Apoio Financeiro a Pequenas Empresas,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 24 palavras (recomendado: 30-100)
01.04.02,Apoio Financeiro para Inovação,L3,too_short,ALTO,Descrição muito curta: 19 palavras (mínimo: 30)
01.04.02,Apoio Financeiro para Inovação,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 19 palavras (recomendado: 30-100)
01.04.03,Financiamento de Infraestrutura,L3,too_short,ALTO,Descrição muito curta: 19 palavras (mínimo: 30)
01.04.03,Financiamento de Infraestrutura,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 19 palavras (recomendado: 30-100)
01.04.04,Microcrédito e Inclusão Financeira,L3,too_short,ALTO,Descrição muito curta: 23 palavras (mínimo: 30)
01.04.04,Microcrédito e Inclusão Financeira,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 23 palavras (recomendado: 30-100)
01.05,Novas Economias e Inovações Financeiras,L2,below_recommended,BAIXO,Abaixo do recomendado para L2: 36 palavras (recomendado: 50-150)
01.05.01,Economia Circular,L3,too_short,ALTO,Descrição muito curta: 21 palavras (mínimo: 30)
01.05.01,Economia Circular,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 21 palavras (recomendado: 30-100)
01.05.02,Economia Digital,L3,too_short,ALTO,Descrição muito curta: 22 palavras (mínimo: 30)
01.05.02,Economia Digital,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 22 palavras (recomendado: 30-100)
01.05.03,Economia Solidária,L3,too_short,ALTO,Descrição muito curta: 19 palavras (mínimo: 30)
01.05.03,Economia Solidária,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 19 palavras (recomendado: 30-100)
01.05.04,Criptomoedas e Finanças Descentralizadas,L3,too_short,ALTO,Descrição muito curta: 21 palavras (mínimo: 30)
01.05.04,Criptomoedas e Finanças Descentralizadas,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 21 palavras (recomendado: 30-100)
02,Educação,L1,below_recommended,BAIXO,Abaixo do recomendado para L1: 30 palavras (recomendado: 80-200)
02.01.02,Ensino Fundamental,L3,too_short,ALTO,Descrição muito curta: 29 palavras (mínimo: 30)
02.01.02,Ensino Fundamental,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 29 palavras (recomendado: 30-100)
02.01.03,Alimentação Escolar,L3,too_short,ALTO,Descrição muito curta: 27 palavras (mínimo: 30)
02.01.03,Alimentação Escolar,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 27 palavras (recomendado: 30-100)
02.01.04,Internet nas Escolas,L3,too_short,ALTO,Descrição muito curta: 26 palavras (mínimo: 30)
02.01.04,Internet nas Escolas,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 26 palavras (recomendado: 30-100)
02.02,Ensino Superior,L2,below_recommended,BAIXO,Abaixo do recomendado para L2: 40 palavras (recomendado: 50-150)
02.02.01,Pesquisa Acadêmica e Inovação,L3,too_short,ALTO,Descrição muito curta: 26 palavras (mínimo: 30)
02.02.01,Pesquisa Acadêmica e Inovação,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 26 palavras (recomendado: 30-100)
02.03.01,Aprendizagem Profissional,L3,too_short,ALTO,Descrição muito curta: 29 palavras (mínimo: 30)
02.03.01,Aprendizagem Profissional,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 29 palavras (recomendado: 30-100)
02.03.02,Capacitação Profissional,L3,too_short,ALTO,Descrição muito curta: 25 palavras (mínimo: 30)
02.03.02,Capacitação Profissional,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 25 palavras (recomendado: 30-100)
02.03.03,Formação Profissional,L3,too_short,ALTO,Descrição muito curta: 28 palavras (mínimo: 30)
02.03.03,Formação Profissional,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 28 palavras (recomendado: 30-100)
02.03.04,Políticas de Incentivo à Educação Profissional,L3,too_short,ALTO,Descrição muito curta: 29 palavras (mínimo: 30)
02.03.04,Políticas de Incentivo à Educação Profissional,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 29 palavras (recomendado: 30-100)
02.04.01,Políticas Educacionais,L3,too_short,ALTO,Descrição muito curta: 25 palavras (mínimo: 30)
02.04.01,Políticas Educacionais,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 25 palavras (recomendado: 30-100)
02.04.03,Bolsas e Incentivos,L3,too_short,ALTO,Descrição muito curta: 26 palavras (mínimo: 30)
02.04.03,Bolsas e Incentivos,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 26 palavras (recomendado: 30-100)
02.04.05,Apoio e Desenvolvimento Acadêmico,L3,too_short,ALTO,Descrição muito curta: 23 palavras (mínimo: 30)
02.04.05,Apoio e Desenvolvimento Acadêmico,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 23 palavras (recomendado: 30-100)
03,Saúde,L1,too_short,ALTO,Descrição muito curta: 23 palavras (mínimo: 30)
03,Saúde,L1,below_recommended,BAIXO,Abaixo do recomendado para L1: 23 palavras (recomendado: 80-200)
03.01.01,Atenção Primária,L3,too_short,ALTO,Descrição muito curta: 28 palavras (mínimo: 30)
03.01.01,Atenção Primária,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 28 palavras (recomendado: 30-100)
03.01.02,Assistência em Saúde,L3,too_short,ALTO,Descrição muito curta: 18 palavras (mínimo: 30)
03.01.02,Assistência em Saúde,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 18 palavras (recomendado: 30-100)
03.01.03,Atenção Integral,L3,too_short,ALTO,Descrição muito curta: 24 palavras (mínimo: 30)
03.01.03,Atenção Integral,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 24 palavras (recomendado: 30-100)
03.01.04,Linhas de Cuidado,L3,too_short,ALTO,Descrição muito curta: 20 palavras (mínimo: 30)
03.01.04,Linhas de Cuidado,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 20 palavras (recomendado: 30-100)
03.01.05,Manejo Clínico,L3,too_short,ALTO,Descrição muito curta: 20 palavras (mínimo: 30)
03.01.05,Manejo Clínico,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 20 palavras (recomendado: 30-100)
03.02,Campanhas de Saúde Pública,L2,below_recommended,BAIXO,Abaixo do recomendado para L2: 48 palavras (recomendado: 50-150)
03.02.01,Combate à Dengue,L3,too_short,ALTO,Descrição muito curta: 19 palavras (mínimo: 30)
03.02.01,Combate à Dengue,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 19 palavras (recomendado: 30-100)
03.02.02,Saúde da Criança,L3,too_short,ALTO,Descrição muito curta: 20 palavras (mínimo: 30)
03.02.02,Saúde da Criança,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 20 palavras (recomendado: 30-100)
03.02.03,Saúde Mental,L3,too_short,ALTO,Descrição muito curta: 18 palavras (mínimo: 30)
03.02.03,Saúde Mental,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 18 palavras (recomendado: 30-100)
03.02.04,Alimentação Saudável,L3,too_short,ALTO,Descrição muito curta: 18 palavras (mínimo: 30)
03.02.04,Alimentação Saudável,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 18 palavras (recomendado: 30-100)
03.03.01,Vigilância em Saúde,L3,too_short,ALTO,Descrição muito curta: 18 palavras (mínimo: 30)
03.03.01,Vigilância em Saúde,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 18 palavras (recomendado: 30-100)
03.03.02,Inovação em Saúde,L3,too_short,ALTO,Descrição muito curta: 18 palavras (mínimo: 30)
03.03.02,Inovação em Saúde,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 18 palavras (recomendado: 30-100)
